Bore,Latitude,Longitude,Cl,cl_d_stdev,cl_d_skew,cl_d_mean,cl_d_final,rainann,R,geol,Group,Count,BoreDepth
GW045048,-31.03,150.16,329.71,0.51,-0.0788,5.82,6.09,798,1.85,6,WPG,1,16.4
GW051249,-31.19,149.74,265.4,0.47,1.3457,5.76,5.68,715,2.14,6,WPG,1,17.7
GW052345,-31.88,149.49,2029.33,0.47,1.0297,5.77,5.56,718,0.27,3,WPG,1,18
GW010823,-31.59,149.53,372,0.47,1.4379,5.68,5.51,638,1.48,6,WPG,1,18.6
GW045049,-31.02,150.18,528.25,0.52,-0.1456,5.78,6.13,744,1.16,6,WPG,1,21.2
GW016550,-34.49,150.43,274.34,2.14,-0.0931,17.4,15.81,1109,5.76,3,WPG,1,21.3
GW057135,-31.67,150.66,83,1.01,-0.0163,7.74,7.34,681,8.84,6,WPG,1,21.3
GW016098,-31.22,149.87,129.6,0.47,0.8819,5.81,5.76,742,4.45,6,WPG,1,21.9
GW051337,-31.54,149.54,246,0.48,1.5311,5.66,5.5,658,2.23,3,WPG,1,21.9
GW035561,-31.35,149.37,191.45,0.74,2.6841,5.73,5.31,709,2.77,6,WPG,1,22.8
GW100001,-33.6,150.73,506.95,3.45,-0.3908,27.03,22.89,910,4.52,3,WPG,1,24
GW056667,-31.68,150.65,48.9,1.05,0.06,7.91,7.4,706,15.13,3,WPG,1,24.3
GW009540,-31.24,149.47,339,0.67,2.5065,5.74,5.38,742,1.59,6,WPG,1,24.4
GW057943,-34.58,150.3,1257.52,1.71,0.0936,12.72,11.69,1125,0.93,3,WPG,1,25.9
GW008688,-31.12,149.7,225,0.48,1.6931,5.68,5.59,722,2.49,6,WPG,1,26.5
GW002671,-31.6,149.5,447,0.48,1.593,5.64,5.46,675,1.22,6,WPG,1,27.7
GW051244,-31.88,149.43,552,0.47,1.1608,5.74,5.52,712,1,3,WPG,1,28
GW017151,-31.02,149.76,101.8,0.45,1.5398,5.6,5.61,679,5.51,6,WPG,1,30.2
GW011548,-31.41,149.83,420,0.5,0.6968,6.04,5.85,651,1.39,3,WPG,1,30.5
GW053898,-33.45,151,25.17,4.54,0.0396,50.64,46.93,960,186.44,3,WPG,1,31
GW002875,-31.35,149.64,112,0.51,1.5297,5.83,5.63,754,5.02,6,WPG,1,32.6
GW017125,-31.37,149.6,173.3,0.53,1.7091,5.81,5.57,758,3.21,3,WPG,1,32.9
GW011393,-34.44,150.39,22.51,2.01,-0.0471,15.24,13.68,909,60.78,3,WPG,1,33.5
GW017024,-31.38,149.82,185,0.5,0.8833,5.99,5.79,687,3.13,3,WPG,1,33.5
GW045050,-31.04,150.16,115.22,0.51,-0.0788,5.82,6.09,798,5.29,6,WPG,1,33.5
GW009315,-31.64,149.52,591,0.47,1.4991,5.66,5.48,701,0.93,3,WPG,1,33.8
GW048729,-32.26,149.38,5125,0.52,0.8689,5.99,5.64,720,0.11,3,WPG,1,35
GW005316,-34.14,150.78,640.1,3.25,0.0111,36.71,34.13,868,5.33,3,WPG,1,36.5
GW017315,-34.14,150.69,2180.01,2.75,-0.2171,28.3,25.64,892,1.18,3,WPG,1,36.5
GW045047,-31.03,150.16,611.56,0.51,-0.0788,5.82,6.09,798,1,6,WPG,1,36.6
GW059264,-34.57,150.41,1065.72,1.98,-0.0176,15.4,14.05,1109,1.32,3,WPG,1,36.6
GW009029,-31.41,149.74,417,0.5,1.0707,5.95,5.73,707,1.37,6,WPG,1,37.5
GW043721,-30.68,149.85,697.01,0.4,1.0543,5.44,5.67,712,0.81,6,WPG,1,38.1
GW013247,-30.88,149.76,1315.77,0.43,1.5907,5.52,5.57,702,0.42,6,WPG,1,38.4
GW015214,-34.54,150.45,337.3,2.12,-0.0776,17.51,16.03,1046,4.75,3,WPG,1,39
GW011227,-34.53,150.31,83.99,1.68,0.1234,12.2,11.13,958,13.25,3,WPG,1,40.3
GW006834,-32.26,148.65,361.99,0.42,1.6401,5.39,5.17,604,1.43,3,WPG,1,42.7
GW008578,-31.61,149.51,725,0.48,1.593,5.64,5.46,675,0.75,6,WPG,1,43.3
GW027604,-31.8,149.56,349,0.47,1.0823,5.79,5.6,772,1.6,6,WPG,1,43.3
GW052752,-31.81,148.99,47.51,0.59,2.0745,5.54,5.17,602,10.88,3,WPG,1,44.8
GW011564,-30.79,149.82,142.98,0.42,1.2941,5.5,5.65,715,3.95,6,WPG,1,45.7
GW024052,-31.24,149.6,149.1,0.54,1.8903,5.76,5.54,766,3.72,6,WPG,1,45.7
GW034702,-34.44,150.51,150.68,2.28,-0.1482,19.57,17.74,1079,11.77,3,WPG,1,45.7
GW059375,-34.44,150.39,30,2.01,-0.0471,15.24,13.68,909,45.61,3,WPG,1,45.7
GW010814,-34.48,150.35,76.76,1.85,0.0369,13.61,12.31,916,16.03,3,WPG,1,48.7
GW016298,-34.48,150.43,667.86,2.14,-0.0931,17.4,15.81,1109,2.37,3,WPG,1,49.3
GW006454,-30.75,149.8,1701.67,0.41,1.3038,5.47,5.64,706,0.33,6,WPG,1,49.6
GW050976,-33.99,150.63,325,2.76,-0.2911,20.9,18.02,843,5.54,3,WPG,1,52
GW009945,-30.98,149.68,426.93,0.47,1.7951,5.61,5.56,681,1.3,6,WPG,1,54.8
GW015421,-31.35,150.19,76.22,0.6,-0.228,6.31,6.31,670,8.28,6,WPG,1,54.9
GW021558,-31.24,149.59,332,0.54,1.8903,5.76,5.54,787,1.67,6,WPG,1,54.9
GW013138,-34.52,150.46,56.09,2.14,-0.0931,17.4,15.81,1027,28.18,3,WPG,1,55.4
GW013320,-34.61,150.58,13.79,2.73,-0.1669,27.32,25.73,1678,186.58,3,WPG,1,55.6
GW060772,-34.43,150.34,101.4,1.87,0.0206,13.6,12.2,1001,12.03,3,WPG,1,56
GW059446,-34.21,150.77,3400,3.12,-0.013,34.62,32.09,916,0.94,3,WPG,1,57
GW015690,-34.55,150.46,288.13,2.12,-0.0776,17.51,16.03,1063,5.56,3,WPG,1,57.6
GW012577,-34.43,150.5,161.31,2.28,-0.1482,19.57,17.74,1034,11,3,WPG,1,57.9
GW037743,-34.05,150.64,74.45,2.74,-0.3244,22.36,19.49,861,26.17,3,WPG,1,57.9
GW003980,-31.65,149.59,440,0.47,1.1817,5.73,5.58,692,1.27,3,WPG,1,61
GW034454,-32.16,149.8,595.61,0.67,0.1942,6.61,5.98,659,1,3,WPG,1,61
GW047674,-33.58,150.66,780.68,3.27,-0.2827,21.64,17.76,1082,2.27,3,WPG,1,61
GW051809,-33.53,150.77,376,3.55,-0.3788,27.95,23.64,953,6.29,3,WPG,1,61
GW053210,-33.57,150.67,70,3.37,-0.2869,22.34,18.26,1081,26.09,3,WPG,1,61
GW055742,-34,150.6,855.13,2.66,-0.2407,19,16.24,893,1.9,3,WPG,1,61.3
GW060608,-32.17,149.86,17,0.7,0.1489,6.68,6.03,635,35.47,3,WPG,1,62.5
GW019254,-33.68,151.2,97.99,5.75,0.1948,60.31,58.06,1375,59.25,3,WPG,1,64
GW056668,-31.69,150.66,61.3,1.05,0.06,7.91,7.4,701,12.07,6,WPG,1,64
GW047443,-34.59,150.26,102.1,1.57,0.1543,11.53,10.61,998,10.39,3,WPG,1,67.1
GW054025,-34.54,150.5,35.79,2.26,-0.1209,20.06,18.47,1129,51.6,3,WPG,1,68
GW056750,-34.26,150.65,678,2.72,-0.1429,28.12,25.51,939,3.76,3,WPG,1,68.9
GW053002,-34.06,150.64,131.18,2.74,-0.3244,22.36,19.49,861,14.85,3,WPG,1,70
GW059401,-34.06,150.63,350,2.74,-0.3244,22.36,19.49,861,5.57,3,WPG,1,70
GW011917,-34.51,150.47,57.79,2.14,-0.0931,17.4,15.81,1027,27.35,3,WPG,1,70.1
GW035423,-34.57,150.34,297.17,1.83,0.0514,13.65,12.44,1035,4.19,3,WPG,1,71.4
GW047684,-34.09,150.56,92.18,2.52,-0.2488,19.13,16.48,960,17.88,3,WPG,1,76
GW053019,-34.6,150.24,293.55,1.57,0.1543,11.53,10.61,958,3.62,3,WPG,1,76
GW061145,-32.04,149.22,778,0.48,1.3871,5.66,5.38,616,0.69,3,WPG,1,76.2
GW008634,-30.73,149.85,524.92,0.4,1.0503,5.47,5.69,705,1.08,6,WPG,1,78.3
GW037851,-34.52,150.26,15.95,1.54,0.1796,11.03,10.02,866,62.81,3,WPG,1,78.6
GW008026,-32.25,148.7,3857.5,0.41,1.7099,5.31,5.15,612,0.13,3,WPG,1,79.2
GW059327,-33.58,150.65,475,3.27,-0.2827,21.64,17.76,1082,3.74,3,WPG,1,80
GW057392,-32.17,150.43,976.38,1.17,0.2843,8.18,7.16,631,0.73,3,WPG,1,82.3
GW057908,-34.53,150.29,16.31,1.68,0.1234,12.2,11.13,937,68.25,3,WPG,1,84
GW010574,-32.27,148.66,177.23,0.42,1.6401,5.39,5.17,607,2.92,3,WPG,1,84.7
GW075090,-33.69,150.58,880,2.88,-0.1344,17.61,14.4,1174,1.64,3,WPG,1,85
GW019131,-34.42,150.39,5676.45,2.02,-0.052,15.01,13.37,898,0.24,3,WPG,1,86.2
GW017628,-34.12,150.51,52.61,2.41,-0.1988,17.29,14.78,1028,28.1,3,WPG,1,89
GW056602,-31.09,149.99,500,0.48,0.2877,5.79,5.93,647,1.19,6,WPG,1,91
GW009371,-31.35,149.53,35.8,0.56,1.8859,5.79,5.52,730,15.41,3,WPG,1,91.4
GW027885,-31.64,150.58,230.5,0.96,-0.0681,7.59,7.21,639,3.13,3,WPG,1,91.4
GW043282,-34.58,150.23,36.37,1.57,0.1543,11.53,10.61,958,29.18,3,WPG,1,91.4
GW047406,-34.59,150.25,71.97,1.57,0.1543,11.53,10.61,998,14.75,3,WPG,1,91.5
GW053288,-34.25,150.72,976.38,2.97,-0.0476,32.3,29.84,1012,3.06,3,WPG,1,92
GW053272,-34.58,150.25,29.43,1.57,0.1543,11.53,10.61,958,36.06,3,WPG,1,96
GW019078,-34.5,150.36,147.98,1.85,0.0369,13.61,12.31,916,8.32,3,WPG,1,96.3
