Bore,Latitude,Longitude,Cl,cl_d_stdev,cl_d_skew,cl_d_mean,cl_d_final,rainann,R,geol,Group,Count,BoreDepth
GW043951,-33.47,151.11,124.09,7.21,0.2438,64.15,61.43,1093,49.5,11,M700,1,48.7
GW054070,-32.96,150.68,49.63,3.4,0.4526,16.11,12.34,794,24.86,11,M700,1,49
GW058247,-33.59,150.25,16,1.84,0.161,10.89,8.74,983,54.64,11,M700,1,50
GW045082,-33.37,151.44,599.9,7.2,0.3549,73.6,70.87,1390,11.81,11,M700,1,50.3
GW051949,-33.72,150.31,15,1.82,0.2045,10.84,8.85,1389,58.98,11,M700,1,51
GW018662,-30.33,149.97,680.87,0.38,2.0458,5.84,5.96,748,0.88,11,M700,1,53
GW051305,-33.41,151.43,248.88,9.08,0.5474,78.44,76.16,1388,30.6,11,M700,1,53
GW053438,-33.07,151.49,319.08,3.49,-0.3383,58.02,53.59,1125,16.8,11,M700,1,53
GW008810,-31,150.1,1893.19,0.49,0.0486,5.73,6.01,671,0.32,11,M700,1,53.3
GW047711,-33.42,151.42,51.41,6.52,0.2744,69.93,67.31,1407,130.94,11,M700,1,54
GW045090,-33.25,151.29,18.44,3.64,-0.4543,45.92,41.79,1257,226.64,11,M700,1,54.9
GW042802,-32.26,148.6,58.5,0.42,1.6817,5.34,5.14,593,8.78,11,M700,1,55.2
GW001142,-32.2,149.22,540.8,0.49,1.2421,5.72,5.44,663,1.01,11,M700,1,56.3
GW007890,-31.08,149.98,31.9,0.48,0.2877,5.79,5.93,647,18.6,11,M700,1,57.9
GW025415,-32.28,148.62,26.59,0.38,1.7796,5.22,5.11,596,19.2,11,M700,1,59.2
GW057050,-32.24,150.41,240,1.19,0.3018,8.21,7.12,657,2.97,11,M700,1,61
GW058507,-32.52,150.67,230,2.07,0.7076,10.75,8.61,728,3.74,11,M700,1,61
GW061293,-32.24,150.32,482,1.06,0.2748,7.8,6.88,581,1.43,11,M700,1,63.1
GW000756,-30.39,149.95,95.97,0.38,1.8388,5.78,5.93,660,6.18,11,M700,1,64
GW005711,-30.31,149.83,73.99,0.39,2.2807,5.81,5.85,665,7.9,11,M700,1,64
GW011329,-30.21,149.96,44,0.39,2.4352,6.02,6.04,751,13.72,11,M700,1,64
GW061136,-32.03,150.6,57,1.3,0.3906,8.62,7.52,736,13.2,11,M700,1,64
GW047184,-33.41,151.32,354.88,3.63,-0.1015,54.46,51.19,1370,14.42,11,M700,1,65
GW080942,-32.04,150.6,75,1.3,0.3906,8.62,7.52,736,10.03,11,M700,1,65
GW080922,-32.18,150.49,95,1.3,0.3828,8.55,7.37,607,7.76,11,M700,1,66
GW005094,-30.6,149.9,134.97,0.39,1.0748,5.49,5.75,683,4.26,11,M700,1,67
GW050007,-33.4,151.45,1610,9.08,0.5474,78.44,76.16,1340,4.73,11,M700,1,68.6
GW034236,-32.26,148.61,138.27,0.42,1.6817,5.34,5.14,593,3.72,11,M700,1,70.1
GW052812,-31.57,150.59,2017.73,0.89,-0.1986,7.29,7.11,641,0.35,11,M700,1,73.1
GW059645,-31.57,150.59,2200,0.89,-0.1986,7.29,7.11,641,0.32,11,M700,1,73.1
GW010468,-31.8,149.32,918,0.5,1.5838,5.7,5.39,685,0.59,11,M700,1,76.2
GW003600,-31.03,150.1,46.09,0.5,0.0285,5.79,6.03,733,13.09,11,M700,1,82.3
GW054418,-33.36,151.36,1080,3.77,-0.0828,57.31,53.87,1402,4.99,11,M700,1,84
GW013704,-30.76,149.93,892.81,0.41,0.6132,5.48,5.79,635,0.65,11,M700,1,85.3
GW001182,-30.87,149.85,138.98,0.42,1.0246,5.54,5.72,680,4.11,11,M700,1,90.5
GW038148,-32.11,149.09,521.16,0.48,1.4482,5.58,5.32,602,1.02,11,M700,1,91.4
GW053778,-32.17,149.85,84.63,0.7,0.1489,6.68,6.03,640,7.13,11,M700,1,93
GW273256,-33.73,150.45,47,2.22,0.1242,12.73,10.42,1357,22.16,11,M700,1,0
GW078007,-32.06,150.87,1300,1.82,0.731,10.27,8.65,643,0.67,12,P000,2,7
GW053823,-32.02,150.83,46.58,1.73,0.7024,10.03,8.53,654,18.32,12,P000,2,9.1
GW273118,-32.65,151.02,110,3.6,0.5903,16.83,13.12,901,11.93,12,P000,2,11.5
GW011965,-31.98,150.86,110,1.73,0.7024,10.03,8.53,655,7.76,12,P000,2,11.6
GW056554,-31.39,150.48,713,0.77,-0.3532,6.82,6.82,630,0.96,12,P000,2,22.9
GW057326,-32.24,149.77,43.78,0.7,0.2442,6.7,6,641,13.7,12,P000,2,72.5
GW273102,-32.02,150.83,51,1.73,0.7024,10.03,8.53,654,16.73,12,P000,2,11
GW080069,-31.97,150.86,86,1.7,0.6829,9.96,8.55,661,9.94,12,P000,2,17
GW059038,-32.24,149.77,44.67,0.7,0.2442,6.7,6,641,13.43,12,P000,2,73
GW273105,-32.56,150.36,35.5,1.52,0.4697,9.15,7.49,712,21.11,12,P000,2,11
GW273106,-32.55,150.35,32.5,1.52,0.4697,9.15,7.49,663,23.06,12,P000,2,11.5
GW008184,-31.98,150.82,42.66,1.62,0.6327,9.68,8.28,662,19.42,12,P000,3,15.2
GW042879,-31.96,150.82,49.25,1.6,0.6162,9.63,8.32,769,16.88,12,P000,2,6.1
GW037281,-32.62,150.08,64.34,1.26,0.3302,8.3,6.9,699,10.73,12,P000,2,15.2
GW008312,-32.5,150.69,68.3,2.21,0.7311,11.22,8.93,642,13.07,12,P000,3,16.8
GW008187,-31.95,150.81,239.94,1.6,0.6162,9.63,8.32,769,3.47,12,P000,2,67.1
GW008183,-32.06,150.8,783.82,1.7,0.6675,9.89,8.38,724,1.07,12,P000,2,46.6
GW037914,-32.25,150.74,305.86,1.88,0.699,10.34,8.52,647,2.78,12,P000,2,9.7
GW080414,-32.53,149.99,725,1.08,0.2845,7.78,6.62,690,0.91,12,P000,2,8
GW080072,-32,150.86,115,1.73,0.7024,10.03,8.53,650,7.42,12,P000,2,18
GW037941,-31.76,150.83,35.63,1.37,0.4355,8.92,8.1,862,22.74,12,P000,2,6.4
GW059034,-32.24,149.77,80.95,0.7,0.2442,6.7,6,641,7.41,12,P000,3,72
GW047877,-32.26,150.69,1575.18,1.76,0.6481,9.96,8.26,627,0.52,12,P000,2,32.9
GW273100,-32.34,149.95,410,0.86,0.2771,7.09,6.32,630,1.54,12,P000,2,5.5
GW053172,-33,151.67,1685.78,6.37,0.1931,77.71,73.27,1132,4.35,12,P000,2,17.4
GW047870,-32.22,151.94,1834.69,6.66,0.1707,32.28,26.51,1102,1.44,12,P000,2,30
GW037365,-32.11,150.85,172.02,1.9,0.7529,10.51,8.76,670,5.09,12,P000,2,9.5
GW053072,-32.99,151.69,741.73,8.3,0.4672,84.76,80.37,1138,10.84,12,P000,2,23
GW059998,-31.27,150.46,724.33,0.68,-0.4085,6.39,6.62,635,0.91,12,P000,3,25.9
GW079760,-32.12,151.94,330.8,6.59,0.2419,31.42,25.82,1059,7.8,12,P000,5,16.79
GW080415,-32.54,150,475,1.08,0.2845,7.78,6.62,690,1.39,12,P000,2,8.5
GW019080,-32.01,150.86,121.53,1.73,0.7024,10.03,8.53,650,7.02,12,P000,5,10.5
GW079607,-32.12,151.96,3299.86,6.59,0.2419,31.42,25.82,1061,0.78,12,P000,7,3.13
GW058582,-32.27,150.71,1772.5,1.76,0.6481,9.96,8.26,637,0.47,12,P000,2,45
GW008199,-32.08,150.81,585.37,1.77,0.6958,10.1,8.47,741,1.45,12,P000,3,54.3
GW059035,-32.24,149.77,211.3,0.7,0.2442,6.7,6,641,2.84,12,P000,2,79.8
GW030740,-32.54,151.05,337.51,3.51,0.5961,16.61,13.09,647,3.88,12,P000,2,16.3
GW273101,-32.36,149.95,540,0.86,0.2771,7.09,6.32,691,1.17,12,P000,2,11.5
GW080126,-32.12,151.96,1334.67,6.59,0.2419,31.42,25.82,1061,1.93,12,P000,6,12.8
GW008217,-32.1,150.81,692.87,1.77,0.6958,10.1,8.47,735,1.22,12,P000,3,68.3
GW008273,-32.47,150.67,340.67,1.98,0.7002,10.5,8.47,660,2.49,12,P000,3,13.7
GW079048,-32.14,151.96,5025.83,6.6,0.2258,31.32,25.7,1074,0.51,12,P000,6,5.97
GW032512,-32.35,150.82,1503.65,2.2,0.7469,11.32,9.11,755,0.61,12,P000,4,33.5
GW079762,-32.12,151.94,866.78,6.59,0.2419,31.42,25.82,1059,2.98,12,P000,9,18.09
GW079045,-32.13,151.95,2036,6.6,0.2258,31.32,25.7,1061,1.26,12,P000,6,16.42
GW079609,-32.12,151.96,2619.86,6.59,0.2419,31.42,25.82,1061,0.99,12,P000,7,1.92
GW079761,-32.14,151.94,2569.2,6.6,0.2258,31.32,25.7,1147,1,12,P000,5,13.39
GW040959,-32.43,150.67,1500,1.98,0.7002,10.5,8.47,653,0.56,12,P000,2,14.5
GW079050,-32.14,151.96,3024.83,6.6,0.2258,31.32,25.7,1074,0.85,12,P000,6,8.28
GW057949,-32.33,150.71,779.11,1.93,0.6734,10.43,8.49,625,1.09,12,P000,2,13.8
GW079046,-32.13,151.95,564.41,6.6,0.2258,31.32,25.7,1147,4.55,12,P000,6,17.03
GW079608,-32.12,151.96,1370,6.59,0.2419,31.42,25.82,1061,1.88,12,P000,7,3.98
GW008338,-32.51,150.68,927.77,2.21,0.7311,11.22,8.93,679,0.96,12,P000,2,13.5
GW079049,-32.14,151.96,1375,6.6,0.2258,31.32,25.7,1074,1.87,12,P000,6,0
GW031859,-32.38,150.82,1606.03,2.3,0.7409,11.63,9.29,742,0.58,12,P000,2,61
GW008140,-32.06,150.79,1559.87,1.7,0.6675,9.89,8.38,867,0.54,12,P000,2,47.7
GW008203,-32,150.84,10034.08,1.73,0.7024,10.03,8.53,654,0.09,12,P000,3,61
GW078225,-32.35,149.95,330,0.86,0.2771,7.09,6.32,640,1.91,12,P000,1,0
GW078999,-32.16,150.83,230,1.98,0.769,10.73,8.87,662,3.86,12,P000,1,0
GW080952,-32.57,151.03,250,3.51,0.5961,16.61,13.09,638,5.24,12,P000,1,1.59
GW079793,-32.41,151.06,94,3.12,0.7138,14.92,11.83,656,12.59,12,P000,1,2.82
GW063717,-32.39,149.8,45,0.79,0.3051,6.87,6.15,689,13.67,12,P000,1,3.4
GW078212,-32.35,149.95,290,0.86,0.2771,7.09,6.32,640,2.18,12,P000,1,3.45
GW080404,-32.35,149.89,360,0.82,0.279,6.98,6.24,671,1.73,12,P000,1,3.5
GW080405,-32.34,149.88,1100,0.82,0.279,6.98,6.24,671,0.57,12,P000,1,3.5
GW080131,-32.55,150.33,190,1.52,0.4697,9.15,7.49,753,3.94,12,P000,1,3.8
GW053564,-33.06,151.65,307.38,9.17,0.5589,85.61,81.78,1144,26.6,12,P000,1,4
GW053565,-33.06,151.65,305.96,9.17,0.5589,85.61,81.78,1144,26.73,12,P000,1,4
GW021628,-32.54,150.45,55,1.68,0.5687,9.56,7.78,665,14.15,12,P000,1,4.3
GW024499,-32.5,150.69,120,2.21,0.7311,11.22,8.93,642,7.44,12,P000,1,4.3
GW080408,-32.31,149.86,840,0.76,0.295,6.77,6.13,639,0.73,12,P000,1,4.5
GW080410,-32.32,149.87,480,0.76,0.295,6.77,6.13,639,1.28,12,P000,1,5
GW080411,-32.33,149.87,1100,0.79,0.2909,6.88,6.18,682,0.56,12,P000,1,5
GW080130,-32.58,150.37,370,1.62,0.4726,9.45,7.63,751,2.06,12,P000,1,5.15
GW047309,-32.75,151.86,90.41,4.97,-0.1142,76.44,69.84,1149,77.24,12,P000,1,5.5
GW035922,-32.54,150.12,31.91,1.2,0.3354,8.12,6.82,696,21.39,12,P000,1,5.6
GW057988,-31.79,150.94,52,1.62,0.6717,9.72,8.63,862,16.59,12,P000,1,5.6
GW053390,-32.01,151.94,241.43,6.47,0.3076,30.72,25.36,1310,10.5,12,P000,1,6
GW053440,-32.36,150.11,310.57,0.95,0.2266,7.52,6.61,602,2.13,12,P000,1,6
GW078445,-31.93,150.8,12,1.6,0.6162,9.63,8.32,885,69.3,12,P000,1,6
GW060330,-32.59,150.99,96.79,3.43,0.595,16.14,12.7,658,13.12,12,P000,1,6.2
GW044715,-32.68,151.02,64,3.73,0.5457,17.47,13.65,665,21.32,12,P000,1,6.55
GW080940,-32.36,149.98,2200,0.9,0.2847,7.2,6.39,649,0.29,12,P000,1,7
GW018498,-32.44,149.98,96,0.99,0.2893,7.49,6.5,686,6.77,12,P000,1,7.3
GW042667,-32.39,150.13,208.11,1.05,0.2659,7.81,6.76,614,3.25,12,P000,1,7.3
GW047342,-32.03,150.82,95.72,1.7,0.6675,9.89,8.38,669,8.76,12,P000,1,7.4
GW059074,-32.55,150.69,71,2.31,0.73,11.49,9.09,766,12.8,12,P000,1,7.4
GW008085,-32.52,150.69,251.61,2.21,0.7311,11.22,8.93,679,3.55,12,P000,1,7.9
GW040501,-32.15,150.86,909.2,1.98,0.769,10.73,8.87,642,0.98,12,P000,1,8
GW053040,-32.38,150.13,286.81,1.05,0.2659,7.81,6.76,614,2.36,12,P000,1,8
GW055528,-32.51,150.46,65,1.57,0.563,9.23,7.62,653,11.73,12,P000,1,8.2
GW019783,-32.64,150.37,290,1.71,0.4701,9.75,7.78,696,2.68,12,P000,1,8.5
GW037727,-32.46,150.46,134.72,1.51,0.5418,9.05,7.54,642,5.6,12,P000,1,8.5
GW037794,-32.41,150.7,641.7,2.01,0.6794,10.67,8.62,629,1.34,12,P000,1,8.5
GW053266,-32.45,149.98,71,0.99,0.2893,7.49,6.5,695,9.16,12,P000,1,8.6
GW037728,-32.46,150.47,134.72,1.51,0.5418,9.05,7.54,642,5.6,12,P000,1,8.8
GW045063,-31.01,150.16,584.97,0.5,-0.0584,5.75,6.07,738,1.04,12,P000,1,8.8
GW073040,-32.51,150.46,72,1.57,0.563,9.23,7.62,653,10.59,12,P000,1,8.8
GW053322,-32.46,149.98,74,0.99,0.2893,7.49,6.5,695,8.79,12,P000,1,8.9
GW047611,-32.53,150.02,74,1.08,0.2845,7.78,6.62,695,8.94,12,P000,1,9
GW062777,-30.46,150.14,99.5,0.42,0.6594,5.85,6.21,723,6.24,13,P000,1,9
GW078537,-31.86,150.86,50,1.53,0.5776,9.44,8.32,820,16.64,12,P000,1,9
GW029646,-32.38,150.8,392.82,2.3,0.7409,11.63,9.29,803,2.36,12,P000,1,9.1
GW037467,-30.76,150.13,35.45,0.47,0.1279,5.58,6.01,611,16.96,13,P000,1,9.1
GW049501,-32.21,150.85,2996,2.05,0.7805,10.94,8.98,740,0.3,12,P000,1,9.1
GW059304,-32.05,150.86,152.8,1.82,0.731,10.27,8.65,643,5.66,12,P000,1,9.4
GW042579,-32.48,150.48,129.97,1.68,0.6065,9.53,7.82,648,6.01,12,P000,1,9.7
GW060327,-32.58,151.02,136.14,3.43,0.595,16.14,12.7,637,9.33,12,P000,1,9.8
GW042723,-32.44,150.14,129.4,1.11,0.2821,8,6.83,669,5.28,12,P000,1,10
GW053041,-32.38,150.13,59.21,1.05,0.2659,7.81,6.76,614,11.41,12,P000,1,10
GW008114,-32.55,150.36,35.45,1.52,0.4697,9.15,7.49,663,21.14,12,P000,1,10.1
GW008089,-32.56,150.36,48.32,1.52,0.4697,9.15,7.49,712,15.51,12,P000,1,10.5
GW053572,-32.31,150.79,285.04,2.1,0.7479,11.04,8.95,628,3.14,12,P000,1,10.5
GW025476,-32.56,150.12,30.14,1.2,0.3354,8.12,6.82,701,22.64,12,P000,1,10.6
GW008371,-32.49,150.67,157.77,2.07,0.7076,10.75,8.61,683,4.26,12,P000,1,10.7
GW010053,-32.45,150.7,421.95,2.11,0.7292,10.93,8.77,631,2.08,12,P000,1,11
GW013611,-32.56,151.29,46.7,4.5,0.2995,23.43,18.84,766,40.34,12,P000,1,11
GW053410,-32.42,150.7,1125.63,2.01,0.6794,10.67,8.62,631,0.77,12,P000,1,11
GW047646,-31.98,150.86,92.18,1.73,0.7024,10.03,8.53,655,9.26,12,P000,1,11.5
GW040509,-32.15,150.85,1921.4,1.98,0.769,10.73,8.87,642,0.46,12,P000,1,11.8
GW010898,-32.35,150.59,210.11,1.69,0.5789,9.66,7.98,638,3.8,12,P000,1,11.9
GW028510,-32.26,150.86,120,2.14,0.7855,11.19,9.11,633,7.59,12,P000,1,12
GW271002,-32.38,150.13,390,1.05,0.2659,7.81,6.76,614,1.73,12,P000,1,12
GW271005,-32.52,150.36,96,1.43,0.4609,8.87,7.37,655,7.67,12,P000,1,12
GW271020,-31.99,150.81,20,1.62,0.6327,9.68,8.28,662,41.42,12,P000,1,12
GW037319,-32.22,150.9,365.88,2.2,0.8172,11.45,9.34,643,2.55,12,P000,1,12.1
GW037934,-32.52,150.86,63.82,2.67,0.7263,12.88,10.13,863,15.87,12,P000,1,12.1
GW017798,-32.53,150.95,951.99,3.12,0.6566,14.71,11.58,711,1.22,12,P000,1,12.2
GW034568,-32.54,151.05,160.96,3.51,0.5961,16.61,13.09,647,8.13,12,P000,1,12.2
GW022309,-32.42,150.65,490,1.88,0.6397,10.24,8.33,645,1.7,12,P000,1,12.8
GW047645,-31.94,150.86,59.21,1.7,0.6829,9.96,8.55,672,14.44,12,P000,1,13
GW053348,-32.46,150.8,221.58,2.4,0.7313,11.94,9.48,628,4.28,12,P000,1,13
GW053783,-32.21,150.88,776.78,2.2,0.8172,11.45,9.34,637,1.2,12,P000,1,13
GW271035,-32.48,150.48,69,1.68,0.6065,9.53,7.82,648,11.33,12,P000,1,13
GW053644,-32.15,150.85,348.5,1.98,0.769,10.73,8.87,662,2.55,12,P000,1,13.1
GW011290,-32.4,150.24,1700,1.15,0.3331,8.08,6.94,618,0.41,12,P000,1,13.4
GW008276,-32.47,150.67,232.6,1.98,0.7002,10.5,8.47,660,3.64,12,P000,1,13.7
GW037616,-32.35,150.66,169.96,1.8,0.6281,10.03,8.23,756,4.84,12,P000,1,13.7
GW053796,-32.35,150.54,57.43,1.58,0.5266,9.32,7.76,627,13.51,12,P000,1,13.7
GW008323,-32.5,150.69,4475.37,2.21,0.7311,11.22,8.93,679,0.2,12,P000,1,14
GW047973,-32.74,151.85,33.68,4.97,-0.1142,76.44,69.84,1142,207.36,12,P000,1,14
