# depth (m),temp,temp_corrected
85.4964,20.4214,20.333844
85.6488,20.4249,20.337189
85.8012,20.4289,20.341035
85.9536,20.4332,20.345181
86.106,20.4361,20.347927
86.2584,20.4385,20.350173
86.4108,20.4404,20.351919
86.5632,20.4435,20.354864
86.7156,20.4465,20.35771
86.868,20.4501,20.361156
87.0204,20.454,20.364902
87.1728,20.4586,20.369348
87.3252,20.4623,20.372894
87.4776,20.465,20.37544
87.63,20.4673,20.377586
87.7824,20.4703,20.380432
87.9348,20.4729,20.382878
88.0872,20.4759,20.385724
88.2396,20.4782,20.38787
88.392,20.4797,20.389216
88.5444,20.4805,20.389862
88.6968,20.4805,20.389708
88.8492,20.4804,20.389454
89.0016,20.4806,20.3895
89.154,20.4804,20.389146
89.3064,20.4816,20.390192
89.4588,20.4828,20.391238
89.6112,20.485,20.393284
89.7636,20.4878,20.39593
89.916,20.4904,20.398376
90.0684,20.4923,20.400122
90.2208,20.4929,20.400568
90.3732,20.4931,20.400614
90.5256,20.4929,20.40026
90.678,20.4925,20.399707
90.8304,20.4927,20.399753
90.9828,20.494,20.400899
91.1352,20.4962,20.402945
91.2876,20.4989,20.405491
91.44,20.5011,20.407537
91.5924,20.5036,20.409884
91.7448,20.5061,20.41223
91.8972,20.5084,20.414376
92.0496,20.5098,20.415622
92.202,20.5105,20.416169
92.3544,20.5103,20.415815
92.5068,20.5071,20.412461
92.6592,20.5037,20.408907
92.8116,20.4992,20.404254
92.964,20.4954,20.4003
93.1164,20.4915,20.396246
93.2688,20.4877,20.392293
93.4212,20.4843,20.388739
93.5736,20.4805,20.384785
93.726,20.4763,20.380432
93.8784,20.4713,20.375278
94.0308,20.4666,20.370424
94.1832,20.4611,20.364771
94.3356,20.4563,20.359817
94.488,20.4514,20.354764
94.6404,20.448,20.35121
94.7928,20.4447,20.347756
94.9452,20.4418,20.344703
95.0976,20.4392,20.341949
95.25,20.4368,20.339396
95.4024,20.4346,20.337042
95.5548,20.4313,20.333589
95.7072,20.4283,20.330435
95.8596,20.4255,20.327482
96.012,20.4235,20.325328
96.1644,20.4214,20.323075
96.3168,20.4197,20.321221
96.4692,20.4178,20.319168
96.6216,20.4162,20.317414
96.774,20.4148,20.315861
96.9264,20.4128,20.313708
97.0788,20.4121,20.312854
97.2312,20.4108,20.311401
97.3836,20.4097,20.310147
97.536,20.4081,20.308394
97.6884,20.4067,20.306841
97.8408,20.4055,20.305487
97.9932,20.4034,20.303234
98.1456,20.4017,20.301381
98.298,20.4004,20.299927
98.4504,20.3995,20.298874
98.6028,20.3977,20.296921
98.7552,20.3954,20.294468
98.9076,20.3932,20.292114
99.06,20.3917,20.290461
99.2124,20.3906,20.289208
99.3648,20.3905,20.288955
99.5172,20.3899,20.288201
99.6696,20.389,20.287148
99.822,20.3876,20.285595
99.9744,20.3865,20.284342
100.1268,20.3861,20.283789
100.2792,20.385,20.282535
100.4316,20.3841,20.281482
100.584,20.3827,20.279929
100.7364,20.3809,20.277976
100.8888,20.3784,20.275323
101.0412,20.3764,20.27317
101.1936,20.3749,20.271517
101.346,20.374,20.270464
101.4984,20.3731,20.269411
101.6508,20.3718,20.267958
101.8032,20.3717,20.267704
101.9556,20.3712,20.267051
102.108,20.3715,20.267198
102.2604,20.3712,20.266745
102.4128,20.3711,20.266492
102.5652,20.3716,20.266839
102.7176,20.3713,20.266386
102.87,20.3714,20.266334
103.0224,20.3714,20.266181
103.1748,20.3712,20.265828
103.3272,20.3714,20.265875
103.4796,20.3713,20.265622
103.632,20.3718,20.265969
103.7844,20.372,20.266016
103.9368,20.3715,20.265363
104.0892,20.3712,20.26491
104.2416,20.3709,20.264457
104.394,20.3721,20.265505
104.5464,20.3738,20.267052
104.6988,20.3761,20.269199
104.8512,20.378,20.270946
105.0036,20.3801,20.272893
105.156,20.382,20.274641
105.3084,20.3846,20.277088
105.4608,20.3887,20.281035
105.6132,20.3971,20.289282
105.7656,20.4098,20.30183
105.918,20.4244,20.316277
106.0704,20.4402,20.331924
106.2228,20.4597,20.351271
106.3752,20.4796,20.371019
106.5276,20.5002,20.391466
106.68,20.5192,20.410313
106.8324,20.5373,20.428261
106.9848,20.5544,20.445208
107.1372,20.571,20.461656
107.2896,20.5865,20.477003
107.442,20.6009,20.49125
107.5944,20.615,20.505198
107.7468,20.6313,20.521345
107.8992,20.6498,20.539693
108.0516,20.6702,20.55994
108.204,20.6918,20.581388
108.3564,20.7145,20.603935
108.5088,20.7373,20.626583
108.6612,20.7589,20.64803
108.8136,20.7776,20.666578
108.966,20.7952,20.684025
109.1184,20.8098,20.698473
109.2708,20.8236,20.71212
109.4232,20.8375,20.725868
109.5756,20.8492,20.737415
109.728,20.8594,20.747463
109.8804,20.8695,20.757411
110.0328,20.8784,20.766158
110.1852,20.8864,20.774006
110.3376,20.8938,20.781253
110.49,20.9006,20.787901
110.6424,20.9058,20.792949
110.7948,20.9112,20.798196
110.9472,20.9158,20.802644
111.0996,20.921,20.807692
111.252,20.9258,20.81234
111.4044,20.9316,20.817987
111.5568,20.9377,20.823935
111.7092,20.9437,20.829783
111.8616,20.9482,20.834131
112.014,20.951,20.836778
112.1664,20.953,20.838626
112.3188,20.9545,20.839974
112.4712,20.9563,20.841622
112.6236,20.958,20.84317
112.776,20.9594,20.844417
112.9284,20.9614,20.846265
113.0808,20.964,20.848713
113.2332,20.967,20.851561
113.3856,20.9699,20.854309
113.538,20.9734,20.857657
113.6904,20.9763,20.860405
113.8428,20.9792,20.863153
113.9952,20.9827,20.866501
114.1476,20.9865,20.870149
114.3,20.9891,20.872597
114.4524,20.9897,20.873045
114.6048,20.9903,20.873493
114.7572,20.9916,20.874641
114.9096,20.9938,20.876689
115.062,20.9959,20.878637
115.2144,20.998,20.880585
115.3668,21.0005,20.882933
115.5192,21.0033,20.885581
115.6716,21.0071,20.889229
115.824,21.0115,20.893477
115.9764,21.0151,20.896925
116.1288,21.0189,20.900574
116.2812,21.0229,20.904422
116.4336,21.0261,20.90747
116.586,21.0278,20.909018
116.7384,21.0292,20.910266
116.8908,21.0318,20.912714
