,ID,lon,lat,easting,northing,projection,elevation,gw_bore_depth,gw_level,gw_level_std
119636,40142383.0,147.1753323,-19.806551100000004,518362.99830553756,7809915.995687667,55.0,28.286131999999967,23.9,13.380759493670885,0.8267486602468713
119637,40142414.0,147.2733405,-19.5573612,528672.0024509379,7837476.995595032,55.0,7.416192875836952,50.5,4.23719512195122,1.07250706335754
119638,40142427.0,147.1565191,-19.6560765,516407.9967978698,7826568.99615908,55.0,20.65301231944043,24.0,13.474545454545455,0.49004252520093894
119639,40142494.0,147.13766840000002,-19.6992074,514428.001262814,7821797.998569166,55.0,23.003844046592146,20.7,9.5442,0.8762604407366569
119640,40142496.0,147.1709623,-19.8362052,517901.9958348409,7806634.995965373,55.0,30.013071401026693,24.0,16.90595744680851,1.0423840505435238
119641,40142529.0,147.2545518,-19.600766399999998,526694.0038315915,7832677.00408714,55.0,11.545751999999727,47.0,6.762812500000001,0.6802905370823189
119642,40142601.0,147.1036924,-19.7173132,510866.00306147244,7819797.001676934,55.0,26.71544853938955,31.0,7.228888888888888,0.7544943527920284
119643,40142606.0,147.12522180000002,-19.7306561,513120.99827070505,7818318.998687701,55.0,23.946768000002017,17.9,9.149230769230767,0.3817865198583655
119644,40142620.0,147.1717279,-19.8288033,517982.9972879749,7807453.996350568,55.0,29.956396000000186,12.9,9.689230769230774,0.15813633545683287
119645,40142626.0,147.1450295,-19.8728634,515182.99914852367,7802580.996556568,55.0,34.72959914464367,18.29,11.282916666666665,0.2656670718315605
119646,40142913.0,147.23739030000002,-19.7518878,524870.9967780155,7815956.995107507,55.0,28.43990799999597,27.75,15.116011904761903,1.3354810707510858
119647,40142939.0,147.22706200000002,-19.7107742,523795.0000616648,7820507.999265046,55.0,21.8953916684799,34.44,8.647598702001082,1.2223540619661877
119648,40142961.0,147.496095975,-19.669280385,552002.2553886069,7825039.669706874,55.0,7.125470236427209,52.3,3.6301769911504422,0.7648181949515845
119649,40143445.0,147.31030080000002,-19.804976,532498.996772327,7810069.995333277,55.0,36.015873643515604,4.4,3.1869318181818174,0.8433568719901782
119650,40143454.0,147.281099352,-19.832058789,529435.6116422669,7807078.394901952,55.0,32.57897692000177,14.5,5.280234375,1.6454418407583904
119651,40143508.0,147.24054442899998,-19.873169838,525182.3534414449,7802535.649019236,55.0,40.54456002843062,16.0,7.8548888888888895,2.8081457877809872
119652,40143519.0,147.294709906,-19.739281257000002,530878.7403072699,7817342.585895877,55.0,31.191132320014898,23.2,12.29258064516129,1.3911176779963623
119653,40143520.0,147.30415432200002,-19.749281198,531866.3179746005,7816234.265327089,55.0,37.16485012690174,15.0,9.3195,1.9790634780117589
119654,40143544.0,147.34313830000002,-19.7925988,535941.0032991788,7811432.999604916,55.0,53.05196664434523,16.7,3.852011494252874,1.6169283992013204
119655,40143606.0,147.28637704,-19.817336598,529991.0353809459,7808706.607815992,55.0,31.671814129211818,20.5,5.343516483516483,1.7773538014257542
119656,40143693.0,147.32109875700002,-19.815392122000002,533627.7281563532,7808915.246403655,55.0,44.92854893818418,15.3,7.975542168674696,1.7201619796326186
119657,40143699.0,147.28721034,-19.821503257,530077.5202109993,7808245.382070784,55.0,32.045631640000856,16.0,4.274141414141415,0.8682945202760608
119658,40143866.0,147.2635729,-20.0469361,527562.99683842,7783302.9972752435,55.0,47.1323319999999,23.5,8.941500000000003,0.3660502014751529
119659,40143920.0,147.295821311,-19.816503260999998,530980.2613712585,7808797.120320043,55.0,32.95864690905269,16.0,3.338275862068965,0.24195424140651406
119660,40143935.0,147.3023116,-19.826433899999998,531658.0037978891,7807697.003150692,55.0,36.494380573310686,20.8,3.3261538461538462,0.4426969524584243
119661,40143938.0,147.300332,-19.829988699999998,531449.9996205568,7807304.002140405,55.0,36.81680800000032,25.0,3.265,1.6463520279697168
119662,40143951.0,147.283877086,-19.82178103,529728.3980778402,7808215.233938421,55.0,31.678973919999162,15.0,3.5030769230769234,0.5432889104672453
119663,40143967.0,147.285821477,-19.828169903,529930.8252941677,7807507.905013731,55.0,32.67896560000209,17.0,4.02265625,0.34676740307580456
119664,40144309.0,148.17810844,-20.029128651,623220.3081436602,7784861.384434791,55.0,9.24825391926789,19.0,6.9441346153846135,1.2728410156454997
