Well name,Longitude,Latitude,Depth,Basin,dTdz,sigma_dTdz,dTcdz,sigma_dTcdz
Kangaloon 1B,150.527165705,-34.513961728,220.0,Sydney  ,0.019867500000000024,0.0018275854973161148,0.018901127083333333,0.0018440627738397634
GW40953,150.643643772,-34.53063999,143.0,Sydney,0.015685714285714244,0.0014088761381999188,0.014708914285714228,0.0013987196132037106
Cut Hill 3,150.731304,-33.982229,724.3,Sydney,0.5177097294839723,0.7438767329323996,0.5176016175001839,0.7438783045801406
Kinnimo 1,149.598889,-28.941667,1583.4,Gunnedah/Bowen,0.0,0.0,0.0,0.0
Cryon Park 1,150.18542949,-34.53840493,79.0,Sydney,0.036907936507936404,0.05351369302707304,0.03588504488095227,0.05351784525413397
Coonarah 5,149.598852778,-30.377880556,706.2,Gunnedah,0.0,0.0,0.0,0.0
Feller 1,148.69307875,-27.015371444,1464.0,Bowen,-0.05738412666731225,0.17968856346192671,-0.058396621830322355,0.17969740993609573
Berkshire Park 1,150.79052196,-33.379810987,1091.2,Sydney,0.0,0.0,0.0,0.0
Wilga Park 2,149.66677801,-30.35736432,756.0,Gunnedah,0.0,0.0,0.0,0.0
Munmorah DDH1,149.543315913,-30.992059367,401.64,Gunnedah,0.035874879657822156,0.017615992946561167,0.035718009548250794,0.017603531104161196
GW75098_3 Average,150.689846788,-33.784158985,250.0,Sydney  ,0.01389833333333333,0.0008182319602383538,0.012957086666666657,0.0007941294579321427
Appin 3,150.767694605,-34.18842524,652.3,Sydney,0.0,0.0,0.0,0.0
Hawkesbury Everleigh 1,151.193867333,-33.895879653,1317.3,Sydney,0.03222438492681408,0.015584415946120835,0.032021232326378074,0.016079706919086296
Pennant Hill GC1,151.057097043,-33.756001492,178.52,Sydney  ,0.018040533986858478,0.00442879480186769,0.017042667842803318,0.004437750687676238
Knight 1,151.0540197,-32.7009463,747.49,Sydney,0.0506263571250761,0.006224596790046557,0.050002262428791376,0.0061689166209181615
River Paddock 1,148.14607525,-22.08929352,560.0,Bowen,0.06126548908538269,0.008067881871259806,0.06056734702427004,0.00816022105411421
Shotover 1,149.1388667,-23.95843889,2717.0,Bowen,0.013042777777777778,0.014125613610620359,0.013044916472222228,0.014124947437077507
Jason Gazal 1,150.514868257,-34.409477134,187.0,Sydney  ,-0.0038239417989418423,0.020525427551220013,-0.0048156543518517655,0.020547135147375887
Jahndilo 6,150.644911,-34.12252,696.0,Sydney,0.021801652288418953,0.007093516285337779,0.02111931526022852,0.007250694592866315
