# eastings,northings,RL
855383.427,6008361.688,-4815.277
860420.574,6008361.688,-4884.841
865457.721,6008361.688,-4887.230
870494.868,6008361.688,-4813.457
875532.015,6008361.688,-4851.051
880569.162,6008361.688,-4799.253
885606.309,6008361.688,-4727.179
890643.456,6008361.688,-4827.086
895680.602,6008361.688,-4730.659
900717.749,6008361.688,-4843.663
905754.896,6008361.688,-4876.858
910792.043,6008361.688,-4864.257
915829.190,6008361.688,-4827.507
920866.337,6008361.688,-4800.121
925903.484,6008361.688,-4827.454
930940.631,6008361.688,-4813.882
935977.778,6008361.688,-4831.706
941014.925,6008361.688,-4858.563
946052.072,6008361.688,-4881.800
951089.219,6008361.688,-4871.674
956126.366,6008361.688,-4856.563
961163.513,6008361.688,-4826.132
966200.660,6008361.688,-4713.888
971237.807,6008361.688,-4652.675
976274.954,6008361.688,-4708.531
981312.101,6008361.688,-4754.403
986349.248,6008361.688,-4767.536
991386.394,6008361.688,-4813.200
996423.541,6008361.688,-4845.659
1001460.688,6008361.688,-4803.370
1006497.835,6008361.688,-4837.209
1011534.982,6008361.688,-4861.511
1016572.129,6008361.688,-4847.746
1021609.276,6008361.688,-4866.328
1026646.423,6008361.688,-4894.177
1031683.570,6008361.688,-4861.640
1036720.717,6008361.688,-4789.833
1041757.864,6008361.688,-4712.229
1046795.011,6008361.688,-4686.628
1051832.158,6008361.688,-4713.093
1056869.305,6008361.688,-4770.293
1061906.452,6008361.688,-4804.943
1066943.599,6008361.688,-4744.720
1071980.746,6008361.688,-4683.196
1077017.893,6008361.688,-4695.164
1082055.040,6008361.688,-4705.165
1087092.187,6008361.688,-4663.320
1092129.333,6008361.688,-4668.463
1097166.480,6008361.688,-4760.455
1102203.627,6008361.688,-4793.741
1107240.774,6008361.688,-4762.949
1112277.921,6008361.688,-4755.604
1117315.068,6008361.688,-4807.662
1122352.215,6008361.688,-4811.896
1127389.362,6008361.688,-4781.334
1132426.509,6008361.688,-4759.980
1137463.656,6008361.688,-4720.906
1142500.803,6008361.688,-4664.621
1147537.950,6008361.688,-4761.320
1152575.097,6008361.688,-4698.720
1157612.244,6008361.688,-4458.600
1162649.391,6008361.688,-4441.864
1167686.538,6008361.688,-4553.957
1172723.685,6008361.688,-4771.908
1177760.832,6008361.688,-4837.026
1182797.979,6008361.688,-4809.617
1187835.126,6008361.688,-4749.386
1192872.272,6008361.688,-4715.467
1197909.419,6008361.688,-4743.511
1202946.566,6008361.688,-4690.717
1207983.713,6008361.688,-4706.741
1213020.860,6008361.688,-4896.620
1218058.007,6008361.688,-4977.913
1223095.154,6008361.688,-5183.493
1228132.301,6008361.688,-4994.988
1233169.448,6008361.688,-4562.172
1238206.595,6008361.688,-4013.574
447374.524,6013377.102,142.844
452411.671,6013377.102,154.524
457448.818,6013377.102,150.940
462485.965,6013377.102,156.376
467523.112,6013377.102,150.673
472560.259,6013377.102,146.302
477597.406,6013377.102,145.938
482634.553,6013377.102,188.314
487671.700,6013377.102,330.457
492708.847,6013377.102,255.915
497745.993,6013377.102,223.461
502783.140,6013377.102,211.109
507820.287,6013377.102,189.073
512857.434,6013377.102,180.000
517894.581,6013377.102,316.360
522931.728,6013377.102,388.961
527968.875,6013377.102,498.104
533006.022,6013377.102,252.692
538043.169,6013377.102,642.775
543080.316,6013377.102,664.305
548117.463,6013377.102,260.504
553154.610,6013377.102,459.024
558191.757,6013377.102,560.033
563228.904,6013377.102,427.954
568266.051,6013377.102,353.511
573303.198,6013377.102,817.591
